attributeKey,description,label,type,valueType,innerType1,innerType2,LinkToOtherProfiles,tag1,tag2,tag3,tag4,UpdateFrequency
name,Name of the Customer,Name,declared,string,,,FALSE,attr/declared,,,,
age,Age of the Customer,Age,declared,total,,,FALSE,attr/declared,,,,
age.group,Age Group of the Customer,Age Group,observed,string,,,FALSE,attr/observed,,,,
accounts.gmail,Gmail Id,accounts.gmail,declared,string,,,FALSE,attr/declared,,,,
accounts.facebook,Facebook Id,accounts.facebook,declared,string,,,FALSE,attr/declared,,,,
accounts.instagram,Instagram Id,accounts.instagram,declared,string,,,FALSE,attr/declared,,,,
DOB,Date of Birth of the person,DOB,declared,datetime,,,FALSE,attr/declared,,,,
stores.lastVisit.anyLocation,Last visit to one of the CICE store,Last Store Visit,observed,datetime,,,FALSE,attr/observed,,,,
stores.lastVisit.RR,Last visit CICE store in Round Rock,Last RR Location,observed,datetime,,,FALSE,attr/observed,,,,
stores.visitsLastWeek.perLocation,How many times has the Customer visited each of the CICE Locations last week?,Last Week's Visit Per Location,observed,dimensional,cice/Store,number,FALSE,attr/observed,,,,
stores.visitsNextWeek.perLocation,How many times do we think the Customer will visit each of the CICE Locations next week?,Future Visit Per Location,inferred,dimensional,cice/Store,number,FALSE,attr/inferred,inferrence/forecasting,,,
weeklyOffers.subscribed,"Is the customer subscribed for Deals, Discounts and More?",Subscribed to Weekly Offers?,declared,boolean,,,FALSE,attr/declared,,,,
thisWeeksOffer.willTry,Do we think the customer will try this week's Ice Cream Offer?,Will try this Week's Offer?,inferred,boolean,,,FALSE,attr/inferred,inferrence/forecasting,,,
visit.averageSpent,"On average, how much does the customer spend per visit?",Average Spending Per Visit,observed,statsummary,,,FALSE,attr/observed,,,,
visit.averageItemsPurchased,"On average, how many items does the customer purchase per visit?",Average # of Items Purchased Per Visit,observed,statsummary,,,FALSE,attr/observed,,,,
visit.count.perMonth,How many times has the customer visited any of our locations each month?,Visits Per Month,observed,dimensional,datetime,number,FALSE,attr/observed,,,,
visit.average.perMonth.perLocation,How many times on average does the customer visit each of locations per month?,Visits Per Month,observed,dimensional,datetime,statsummary,FALSE,attr/observed,,support/future,,
kids.count,How many kids does the customer have?,# of Kids,declared,number,,,FALSE,attr/declared,,,,
flavors.favorite,What is the customers favortie flavors?,Favorite Flavors,declared,list,cice/Flavor,,FALSE,attr/declared,,,,
flavors.distaste,What flavors does the customer not like?,Distasteful Flavors,declared,list,string,,FALSE,attr/declared,,,,
addOns.favorite.perFlavor,What are the customers favorite add ons per flavor?,Favorite AddOns Per Flavor,declared,dimensional,datetime,list,FALSE,attr/declared,,support/future,,
allergies,What allergies does the customer have?,Allergies,declared,list,cice/Allergy,,FALSE,attr/declared,,,,
flavors.recommended,What flavors would we like to recommend to the customer? ... And how likely is the customer in liking the flavor?,Recommended Flavors,inferred,list,string,,FALSE,attr/inferred,,,,
calorie.limits,What is the general calorie range of the itmes the customer purchases?,Calorie Range,observed,total,,,FALSE,attr/observed,,support/future,,
reviews.count.positive,How many positive reviews has the user left on social media?,Positive Reviews,observed,total,,,FALSE,attr/observed,,,,
reviews.count.negative,How many negative reviews has the user left on social media?,Negative Reviews,observed,total,,,FALSE,attr/observed,,,,
visits.total,How many total times has the customer visited any of our shops?,Total Visits,observed,total,,,FALSE,attr/observed,,,,
location.prefered,What location do we believe the customer prreffers?,Preferred Location,inferred,string,,,FALSE,attr/inferred,,,,
blend.MostFavorite,What flavors does the customer most prefer blending together?,Favorite Blend,observed,dimensional,cice/flavor,percentage,FALSE,attr/observed,,,,
kids,Who is this customer's children?,Kids,declared,list,cice/Customer,,TRUE,attr/declared,,,,
spouse,Who is this customer's spouse?,Spouse,declared,profile-rel,,,FALSE,attr/declared,,,,
visits.withFriends.perFriend,How many times has this customer visited our stored with other customers?,Visits with Other Customers,observed,dimensional,cice/Customer,number,TRUE,attr/observed,,,,
customers.similarTastePreference,What customers does this customer resemble from a taste pallete perspective? and how much?,Shares Taste Prefs with Customers,inferred,dimensional,cice/Customer,weight,TRUE,attr/inferred,inferrence/similarity,,,
items.likelyToPurchase.whenVisitingWith,How many items is a customer likely to purchase if they visit with a particular friend?,Purchases with Other Customers,inferred,dimensional,cice/Customer,number,TRUE,attr/inferred,inferrence/forecasting,,,