attributeKey,description,label,type,valueType,innerType1,innerType2,LinkToOtherProfiles,tag1,tag2,tag3,tag4
likely.zipcode,What zipcode does the viewer most likely view videos from?,Likely Zipcode,inferred,list,string,,FALSE,attr/inferred,type/demographics,,
likely.income,What is the users likely income?,Likely Income,inferred,number,,,FALSE,attr/inferred,type/demographics,,
likely.ageGroup,What is the users likely age group?,Likely Age Group,inferred,string,,,FALSE,attr/inferred,type/demographics,,
preferences.genre,What genres is the user likely to watch next?,Genre Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.genre.morning,What genres is the user likely to watch in the morning?,Morning Genre Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.genre.evening,What genres is the user likely to watch in the evening?,Evening Genre Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.shows,What shows is the user likely to watch next?,Show Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.shows.morning,What shows is the user likely to watch in the morning?,Morning Show Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.shows.evening,What shows is the user likely to watch in the evening?,Evening Show Preferences,inferred,list,string,,FALSE,attr/inferred,type/preference,,
preferences.platforms,What platform is the user most likely to watch videos from?,Platform,inferred,list,string,,FALSE,attr/inferred,type/preference,,
adToleranace.perGenre,How many ad pods is the user likely to tolerate per genre?,Ads Watched,inferred,list,string,,FALSE,attr/inferred,type/tolerance,,
adToleranace.midRoll,How likely is the user to tolerate ads displayed in the mid roll phase of a video?,Mid Roll Ad Tolerance,inferred,weight,,,FALSE,attr/inferred,type/tolerance,,
adToleranace.preRoll,How likely is the user to tolerate ads displayed in the pre roll phase of a video?,Pre Roll Ad Tolerance,inferred,weight,,,FALSE,attr/inferred,type/tolerance,,
adTolerance.hookedOnShows,How likely is the user to tolerate ads displayed in shows they are hooked on?,Ad Tolerance on Hooked on Shows,inferred,weight,,,FALSE,attr/inferred,type/tolerance,,
shows.searchedFor,What shows did the viewer search for?,Shows Searched,observed,list,string,,FALSE,attr/observed,type/search,,
genres.searchedFor,What genres did the viewer search for?,Genres Searched,observed,list,string,,FALSE,attr/observed,type/search,,
shows.hookedOn,What shows is the viewer hooked on?,Hooked On,inferred,list,string,,FALSE,attr/inferred,type/preference,,
potentialInterest.ads,How likely do we believe the viewer will be intersted in specific ads? (Based on what they view/search for),Ads of Interest,inferred,list,string,,FALSE,attr/inferred,type/preference,,